city,neighbourhood_cleansed,total_listings,avg_occupancy,median_price,commercial_pct,licensed_pct,avg_availability,avg_reviews,occupancy_rate,total_listings_norm,avg_occupancy_norm,commercial_pct_norm,activity_score
austin,78759,181,47.13,127.0,0.51,0.0,200.56,4.78,0.129,0.07152317880794702,0.2780541735765617,0.4107142857142857,0.222
chicago,Albany Park,77,77.44,111.0,0.57,0.77,209.49,4.81,0.212,0.06426484907497566,0.5532381997804611,0.513157894736842,0.35
chicago,Armour Square,99,109.02,157.5,0.81,0.85,234.43,4.65,0.299,0.08568646543330087,0.8683764095399661,0.8289473684210528,0.547
chicago,Ashburn,12,43.0,165.0,0.42,0.58,270.58,4.9,0.118,0.0009737098344693282,0.20955992415926555,0.3157894736842105,0.147
chicago,Auburn Gresham,27,62.56,166.0,0.48,0.56,282.59,4.78,0.171,0.01557935735150925,0.4047500249476101,0.39473684210526316,0.247
chicago,Austin,67,58.04,143.0,0.39,0.73,224.49,4.68,0.159,0.054527750730282376,0.35964474603333,0.27631578947368424,0.221
chicago,Avondale,179,114.16,127.0,0.46,0.78,202.97,4.85,0.313,0.16358325219084713,0.9196686957389483,0.368421052631579,0.507
chicago,Belmont Cragin,46,54.24,144.0,0.7,0.8,255.24,4.84,0.149,0.034079844206426485,0.32172437880451055,0.6842105263157895,0.279
chicago,Beverly,20,97.6,121.5,0.55,0.9,232.65,4.88,0.267,0.008763388510223954,0.7544157269733559,0.48684210526315796,0.403
chicago,Bridgeport,195,92.44,84.0,0.76,0.76,232.69,4.55,0.253,0.17916260954235638,0.7029238598942221,0.7631578947368421,0.505
chicago,Brighton Park,34,117.62,90.0,0.71,0.85,238.94,4.66,0.322,0.022395326192794548,0.9541961880051892,0.6973684210526316,0.53
chicago,Calumet Heights,19,41.68,122.0,0.58,0.68,258.26,4.69,0.114,0.007789678675754625,0.19638758606925458,0.5263157894736842,0.187
chicago,Chatham,21,22.0,212.0,0.48,0.67,205.57,4.68,0.06,0.009737098344693282,0.0,0.39473684210526316,0.083
chicago,Clearing,12,32.5,395.0,0.83,0.0,198.5,4.54,0.089,0.0009737098344693282,0.10477996207963278,0.8552631578947367,0.213
chicago,Douglas,113,61.79,122.0,0.72,0.71,229.91,4.63,0.169,0.09931840311587146,0.3970661610617703,0.7105263157894737,0.341
chicago,Dunning,41,69.85,138.5,0.59,0.88,223.39,4.81,0.191,0.029211295034079845,0.47749725576289787,0.5394736842105263,0.311
chicago,East Garfield Park,114,100.01,109.0,0.73,0.68,245.83,4.69,0.274,0.1002921129503408,0.7784652230316337,0.7236842105263158,0.496
chicago,East Side,14,65.57,38.0,0.71,0.93,240.86,4.73,0.18,0.0029211295034079843,0.43478694741043805,0.6973684210526316,0.315
chicago,Edgewater,170,112.99,160.0,0.49,0.82,185.38,4.86,0.31,0.15481986368062317,0.9079932142500748,0.40789473684210525,0.507
chicago,Englewood,57,64.12,47.0,0.84,0.74,237.02,4.51,0.176,0.044790652385589096,0.42031733359944123,0.8684210526315789,0.36
chicago,Garfield Ridge,11,95.64,129.0,0.18,0.73,186.73,4.85,0.262,0.0,0.7348568007184912,0.0,0.294
chicago,Grand Boulevard,150,72.9,156.5,0.49,0.77,229.39,4.77,0.2,0.13534566699123662,0.5079333399860294,0.40789473684210525,0.339
chicago,Greater Grand Crossing,45,48.27,110.0,0.69,0.58,238.71,4.66,0.132,0.033106134371957155,0.26214948607923366,0.6710526315789473,0.252
chicago,Hermosa,30,94.2,123.5,0.53,0.7,242.7,4.86,0.258,0.018500486854917234,0.7204869773475702,0.46052631578947373,0.388
chicago,Humboldt Park,108,88.48,105.0,0.58,0.83,216.31,4.82,0.242,0.09444985394352483,0.6634068456241893,0.5263157894736842,0.408
chicago,Hyde Park,115,65.09,96.0,0.75,0.73,190.62,4.7,0.178,0.10126582278481013,0.42999700628679777,0.7500000000000001,0.363
