feature,mean_shap
avg_occupancy,0.05188295960437437
commercial_pct,0.04026234161225916
occupancy_rate,0.02262525079685395
median_price,0.015213088665162428
avg_availability,0.008118138851145143
avg_reviews,0.005725577160601652
licensed_pct,0.005613826230180735
city,0.004525328711337662
